Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG	5/20/2006 1:34:55 PM 	01:56:53	4.80 mi	2.5 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N42 48.872 W70 47.487	5/20/2006 2:15:42 PM 	15 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 48.872 W70 47.480	5/20/2006 2:15:57 PM 	15 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 48.872 W70 47.472	5/20/2006 2:16:12 PM 	15 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 48.872 W70 47.466	5/20/2006 2:16:27 PM 	11 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.873 W70 47.459	5/20/2006 2:16:42 PM 	10 ft		30 ft	00:00:15	1.4 mph	75° true
Trackpoint	N42 48.873 W70 47.451	5/20/2006 2:16:57 PM 	11 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 48.873 W70 47.445	5/20/2006 2:17:12 PM 	11 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.873 W70 47.437	5/20/2006 2:17:27 PM 	15 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 48.875 W70 47.431	5/20/2006 2:17:42 PM 	13 ft		30 ft	00:00:15	1.4 mph	75° true
Trackpoint	N42 48.875 W70 47.423	5/20/2006 2:17:57 PM 	10 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 48.875 W70 47.417	5/20/2006 2:18:12 PM 	10 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.876 W70 47.409	5/20/2006 2:18:27 PM 	8 ft		35 ft	00:00:15	1.6 mph	77° true
Trackpoint	N42 48.876 W70 47.402	5/20/2006 2:18:42 PM 	10 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.876 W70 47.396	5/20/2006 2:18:57 PM 	13 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.876 W70 47.391	5/20/2006 2:19:12 PM 	16 ft		23 ft	00:00:15	1.0 mph	90° true
Trackpoint	N42 48.877 W70 47.383	5/20/2006 2:19:27 PM 	16 ft		35 ft	00:00:15	1.6 mph	77° true
Trackpoint	N42 48.877 W70 47.377	5/20/2006 2:19:42 PM 	15 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.879 W70 47.370	5/20/2006 2:19:57 PM 	15 ft		30 ft	00:00:15	1.4 mph	75° true
Trackpoint	N42 48.879 W70 47.364	5/20/2006 2:20:12 PM 	16 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.879 W70 47.356	5/20/2006 2:20:27 PM 	13 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 48.880 W70 47.350	5/20/2006 2:20:42 PM 	13 ft		30 ft	00:00:15	1.4 mph	75° true
Trackpoint	N42 48.880 W70 47.343	5/20/2006 2:20:57 PM 	11 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.880 W70 47.337	5/20/2006 2:21:12 PM 	13 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.880 W70 47.330	5/20/2006 2:21:27 PM 	15 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.880 W70 47.324	5/20/2006 2:21:42 PM 	15 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.881 W70 47.317	5/20/2006 2:21:57 PM 	15 ft		30 ft	00:00:15	1.4 mph	75° true
Trackpoint	N42 48.881 W70 47.311	5/20/2006 2:22:12 PM 	13 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.881 W70 47.305	5/20/2006 2:22:27 PM 	15 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.881 W70 47.297	5/20/2006 2:22:42 PM 	16 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 48.881 W70 47.290	5/20/2006 2:22:57 PM 	15 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.882 W70 47.283	5/20/2006 2:23:13 PM 	13 ft		35 ft	00:00:16	1.5 mph	77° true
Trackpoint	N42 48.882 W70 47.276	5/20/2006 2:23:28 PM 	13 ft		29 ft	00:00:15	1.3 mph	90° true
Trackpoint	N42 48.881 W70 47.270	5/20/2006 2:23:43 PM 	11 ft		30 ft	00:00:15	1.4 mph	105° true
Trackpoint	N42 48.882 W70 47.263	5/20/2006 2:23:58 PM 	11 ft		30 ft	00:00:15	1.4 mph	75° true
Trackpoint	N42 48.888 W70 47.251	5/20/2006 2:24:13 PM 	11 ft		65 ft	00:00:15	3.0 mph	61° true
Trackpoint	N42 48.898 W70 47.244	5/20/2006 2:24:28 PM 	10 ft		69 ft	00:00:15	3.1 mph	25° true
Trackpoint	N42 48.907 W70 47.253	5/20/2006 2:24:43 PM 	11 ft		68 ft	00:00:15	3.1 mph	324° true
Trackpoint	N42 48.908 W70 47.272	5/20/2006 2:24:58 PM 	10 ft		87 ft	00:00:15	3.9 mph	275° true
Trackpoint	N42 48.915 W70 47.294	5/20/2006 2:25:13 PM 	13 ft		105 ft	00:00:15	4.8 mph	292° true
Trackpoint	N42 48.920 W70 47.317	5/20/2006 2:25:28 PM 	15 ft		108 ft	00:00:15	4.9 mph	287° true
